domain	mediabias_proscience	mediabias_questionblesources	mediabias_conspiracy_psydoscience
decaturtimes.com	0.0	1.0	0.0
deepleftfield.info	0.0	1.0	0.0
defconnews.com	0.0	1.0	0.0
defendingtherepublic.org	0.0	1.0	0.0
defiantamerica.com	0.0	1.0	0.0
dekalbganews.com	0.0	1.0	0.0
dekalbtimes.com	0.0	1.0	0.0
democrats.org	0.0	1.0	0.0
denvercitywire.com	0.0	1.0	0.0
deplorablekel.com	0.0	1.0	0.0
desmoinessun.com	0.0	1.0	0.0
digifection.com	0.0	1.0	0.0
discoverthenetworks.org	0.0	1.0	0.0
djhjmedia.com	0.0	1.0	0.0
dnyuz.com	0.0	1.0	0.0
dubuquetimes.com	0.0	1.0	0.0
dupagepolicyjournal.com	0.0	1.0	0.0
duvaltimes.com	0.0	1.0	0.0
eaglerising.com	0.0	1.0	0.0
eastalamedanews.com	0.0	1.0	0.0
eastarapahoenews.com	0.0	1.0	0.0
eastarizonanews.com	0.0	1.0	0.0
eastcentralreporter.com	0.0	1.0	0.0
eastcontracostanews.com	0.0	1.0	0.0
easthillsboroughnews.com	0.0	1.0	0.0
eastidahotimes.com	0.0	1.0	0.0
eastindynews.com	0.0	1.0	0.0
eastkentuckytimes.com	0.0	1.0	0.0
eastlittlerocktimes.com	0.0	1.0	0.0
eastlouisvillenews.com	0.0	1.0	0.0
eastpanhandlenews.com	0.0	1.0	0.0
eastpennyroyalnews.com	0.0	1.0	0.0
eastsandiegonews.com	0.0	1.0	0.0
eastsbvtimes.com	0.0	1.0	0.0
eastsfvtoday.com	0.0	1.0	0.0
eastsierranews.com	0.0	1.0	0.0
eastventuranews.com	0.0	1.0	0.0
eastvolusianews.com	0.0	1.0	0.0
eastwitchitatimes.com	0.0	1.0	0.0
ecalabamanews.com	0.0	1.0	0.0
ecgeorgianews.com	0.0	1.0	0.0
echocheck.org	0.0	1.0	0.0
ecindiananews.com	0.0	1.0	0.0
eciowanews.com	0.0	1.0	0.0
eckansasnews.com	0.0	1.0	0.0
economictimes.indiatimes.com	0.0	1.0	0.0
elizabethtowntimes.com	0.0	1.0	0.0
elkharttimes.com	0.0	1.0	0.0
emeraldcoasttimes.com	0.0	1.0	0.0
emirates247.com	0.0	1.0	0.0
en-volve.com	0.0	1.0	0.0
en.bbarta24.net	0.0	1.0	0.0
en.granma.cu	0.0	1.0	0.0
en.hawarnews.com	0.0	1.0	0.0
en.mehrnews.com	0.0	1.0	0.0
en.mercopress.com	0.0	1.0	0.0
en.metapedia.org	0.0	1.0	0.0
en.newsner.com	0.0	1.0	0.0
en.protothema.gr	0.0	1.0	0.0
en.radiovaticana.va	0.0	1.0	0.0
endthefed.com	0.0	1.0	0.0
eng.majalla.com	0.0	1.0	0.0
english.alarabiya.net	0.0	1.0	0.0
english.almanar.com.lb	0.0	1.0	0.0
english.cctv.com	0.0	1.0	0.0
europe-israel.org	0.0	1.0	0.0
everytown.org	0.0	1.0	0.0
explainlife.com	0.0	1.0	0.0
factcheckingturkey.com	0.0	1.0	0.0
factswanted.com	0.0	1.0	0.0
fairus.org	0.0	1.0	0.0
familysurvivalheadlines.com	0.0	1.0	0.0
fashthenation.com	0.0	1.0	0.0
fayettevillestandard.com	0.0	1.0	0.0
federalistpress.com	0.0	1.0	0.0
femalista.com	0.0	1.0	0.0
fibrohealthnews.com	0.0	1.0	0.0
filmingcops.com	0.0	1.0	0.0
firstinfreedomdaily.com	0.0	1.0	0.0
firststatetimes.com	0.0	1.0	0.0
flagandcross.com	0.0	1.0	0.0
floridaparishnews.com	0.0	1.0	0.0
focusonthefamily.com	0.0	1.0	0.0
foreignpolicyi.org	0.0	1.0	0.0
fortherightnews.com	0.0	1.0	0.0
fortsmithtimes.com	0.0	1.0	0.0
fr.sputniknews.com	0.0	1.0	0.0
fr24news.com	0.0	1.0	0.0
frankspeech.com	0.0	1.0	0.0
frc.org	0.0	1.0	0.0
free-speechfront.info	0.0	1.0	0.0
freedomfirstnetwork.com	0.0	1.0	0.0
freedomnewsreport.com	0.0	1.0	0.0
freetelegraph.com	0.0	1.0	0.0
freewestmedia.com	0.0	1.0	0.0
fresnoleader.com	0.0	1.0	0.0
friatider.se	0.0	1.0	0.0
front.moveon.org	0.0	1.0	0.0
frontpagemag.com	0.0	1.0	0.0
ftwaynetimes.com	0.0	1.0	0.0
gadsdentoday.com	0.0	1.0	0.0
galesburgreporter.com	0.0	1.0	0.0
gatestoneinstitute.org	0.0	1.0	0.0
gemstatewire.com	0.0	1.0	0.0
genzconservative.com	0.0	1.0	0.0
geologyin.com	0.0	1.0	0.0
georgiamountainnews.com	0.0	1.0	0.0
gettr.com	0.0	1.0	0.0
girlsjustwannahaveguns.com	0.0	1.0	0.0
globemagazine.com	0.0	1.0	0.0
gnews.org	0.0	1.0	0.0
godfatherpolitics.com	0.0	1.0	0.0
goldcountrytoday.com	0.0	1.0	0.0
goldenstatetoday.com	0.0	1.0	0.0
goodgopher.com	0.0	1.0	0.0
goodsciencing.com	0.0	1.0	0.0
gop.com	0.0	1.0	0.0
gop.gov	0.0	1.0	0.0
gopdailybrief.com	0.0	1.0	0.0
grainoftruth.ca	0.0	1.0	0.0
grandcanyontimes.com	0.0	1.0	0.0
grandjunctiontimes.com	0.0	1.0	0.0
greatamericandaily.com	0.0	1.0	0.0
greatamericanrepublic.com	0.0	1.0	0.0
greatreject.org	0.0	1.0	0.0
grundyreporter.com	0.0	1.0	0.0
gulfnews.com	0.0	1.0	0.0
hagmannreport.com	0.0	1.0	0.0
halturnerradioshow.com	0.0	1.0	0.0
hangthebankers.com	0.0	1.0	0.0
hartfordreporter.com	0.0	1.0	0.0
hawkeyereporter.com	0.0	1.0	0.0
headlineusa.com	0.0	1.0	0.0
headtopics.com	0.0	1.0	0.0
heartland.org	0.0	1.0	0.0
hereistheevidence.com	0.0	1.0	0.0
hernandoreporter.com	0.0	1.0	0.0
hoggwatch.com	0.0	1.0	0.0
home.nra.org	0.0	1.0	0.0
honolulureporter.com	0.0	1.0	0.0
hoosierstatetoday.com	0.0	1.0	0.0
hopkinsvilletimes.com	0.0	1.0	0.0
hotspringstimes.com	0.0	1.0	0.0
houmathibodauxnews.com	0.0	1.0	0.0
housatonicvalleynews.com	0.0	1.0	0.0
huntsvilleleader.com	0.0	1.0	0.0
hutchtoday.com	0.0	1.0	0.0
iharare.com	0.0	1.0	0.0
